Year,Measure,Sub-Measure,Sub-Measure,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Units
2010,Economic Impact,Shopping,Shopping,2344.71884,3471.538259,4422.891152,9229.087801,9995.567704,9428.732913,10086.04756,11690.50499,10614.12434,6486.862119,3261.72714,2740.021629,83771.82445,£000s
2010,Economic Impact,Transport,Transport,969.1529882,1417.003503,1803.957191,3700.492115,4325.322855,4185.040723,4334.310352,5119.00066,4566.108431,2652.927592,1361.185269,1146.751213,35581.25289,£000s
2010,Economic Impact,Direct Expenditure,Direct Expenditure,8157.515886,12119.90029,15150.39542,29736.46541,33833.86734,32848.72199,36381.64636,42235.09394,35818.40338,22282.69613,11687.39541,9847.786295,290099.8879,£000s
2010,Population,Total,Total,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,Persons
2010,Employment,Serviced Accommodation,Serviced Accommodation,1246.308321,1288.842295,1329.218385,1414.081314,1453.089349,1455.639172,1479.219965,1515.708882,1469.493108,1434.997774,1319.1957,1279.595424,1390.449141,FTEs
2010,Employment,Non-Serviced Accommodation,Non-Serviced Accommodation,1295.859759,1469.557817,1601.60046,1972.588408,2641.037192,2780.972542,2620.5957,3007.774353,2710.051156,1820.337678,1486.655447,1394.510909,2066.795119,FTEs
2010,Employment,SFR,SFR,101.3274019,35.74753761,40.96871841,87.01846882,61.77105651,50.11770479,74.00896911,77.94837538,45.32566846,41.69075092,31.95390407,91.33413031,61.60105719,FTEs
2010,Employment,Day Visitor,Day Visitor,827.5761284,1270.389026,1638.93802,3561.043145,3442.157321,3085.723962,3478.385114,3925.032007,3688.571943,2402.35063,1164.366802,940.044907,2452.048251,FTEs
2010,Employment,Direct Employment,Direct Employment,3471.07161,4064.536675,4610.725584,7034.731336,7598.054919,7372.453381,7652.209748,8526.463618,7913.441876,5699.376833,4002.171854,3705.485371,5970.893567,FTEs
2010,Employment,Indirect Employment,Indirect Employment,420.3479369,640.516906,793.5117504,1558.037915,1761.1157,1715.763208,1915.681136,2217.253416,1870.623839,1166.700264,607.0445072,511.4807649,1264.839779,FTEs
